plot,sec,tree,species,dbht0,cc,condt0,yeart0,xcoord,ycoord,zelev,elev0,markmanip,actualmanip,cond06,dam06,sprt06,notes1,notes06,dbh09,cond09,dam09,sprt09,notes09,hwa1b09,hwa2b09,dbh14,cond14,dam14,sprt14,vigor14,hwab114,hwab214,scale14,note14,dbh19,cond19,dam19,sprt19,vigor19,hwab119,hwab219,scale19,note19
1,C,483,TSCA,30.9,C,L,2003,32.3,30.6,-0.38,50;40,girdle05,girdle05,L,NA,NA,NA,NA,31.3,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,484,TSCA,39.7,C,L,2003,33.8,32.1,-0.51,50;40,girdle05,girdle05,L,NA,NA,NA,NA,39.5,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,SNAP,NA,5,NA,NA,NA,fallen
1,C,485,TSCA,15.4,NA,D,2003,NA,NA,NA,NA,girdle05,girdle05,D,NA,NA,broken stem 11/25-03; leaning on tree #486; no map,NA,NA,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,not found; not on map,NA,D,NA,NA,5,NA,NA,NA,GONE
1,C,486,TSCA,22.7,I,L,2003,35.7,32.7,-0.19,50;40,girdle05,girdle05,L,NA,NA,NA,NA,21.9,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,SNAP,NA,5,NA,NA,NA,1M SNAG
1,C,487,TSCA,31.4,C,L,2003,36.9,32.7,0.08,50;40,girdle05,girdle05,L,NA,NA,NA,NA,32.3,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,488,TSCA,31.8,C,L,2003,36.5,36.1,-1.08,50;40,girdle05,girdle05,L,NA,NA,NA,NA,31.8,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,489,TSCA,25.8,S,L,2003,35.5,36.1,-1.28,50;40,girdle05,girdle05,L,NA,NA,NA,NA,25.9,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,490,TSCA,14.3,NA,D,2003,35.3,36.9,-1.47,50;40,girdle05,girdle05,D,SNAP,NA,NA,NO CROWN,NA,D,NA,NA,NA,NA,NA,NA,D,SNAP,NA,5,NA,NA,NA,snag,NA,D,NA,NA,NA,NA,NA,NA,NA
1,C,491,TSCA,22.4,S,L,2003,36.8,37,-1.33,50;40,girdle05,girdle05,L,NA,NA,middle recorded as 252.5 on data sheet,NA,22.5,D,NA,NA,NA,NA,NA,NA,D,NA,NA,5,NA,NA,NA,standing,NA,D,NA,NA,5,NA,NA,NA,STANDING
1,C,492,BEAL,19.7,S,L,2003,38.8,37.4,-1.05,50;40,none,none,L,NA,NA,NA,NA,21.4,L,NA,NA,NA,NA,NA,24,L,NA,NA,NA,NA,NA,NA,NA,26.7,L,NA,NA,NA,NA,NA,NA,NA
