Site,Year,Site_Year,Transect,Quad,Coral #,Coral Genus,Branch morphology,Percent in,Percent alive,Alive or dead,Area_cm2,Filled in ,Notes
LTER_1,2006,LTER_1_2006,1,2,1,POC,2,80,100,Live,158.308,NO,
LTER_1,2006,LTER_1_2006,1,2,2,ACR,1,100,100,Live,17.875,NO,
LTER_1,2006,LTER_1_2006,1,2,3,POC,2,70,50,Live,102.725,NO,
LTER_1,2006,LTER_1_2006,1,2,4,ACR,1,100,100,Live,4.293,NO,
LTER_1,2006,LTER_1_2006,1,2,5,POC,3,100,60,Live,334.618,NO,
LTER_1,2006,LTER_1_2006,1,2,6,POC,3,35,100,Live,244.41,NO,
LTER_1,2006,LTER_1_2006,1,2,7,ACR,1,100,75,Live,349.575,NO,
LTER_1,2006,LTER_1_2006,1,2,8,ACR,1,100,100,Live,7.594,NO,
LTER_1,2006,LTER_1_2006,1,2,9,ACR,1,50,100,Live,16.847,NO,
LTER_1,2006,LTER_1_2006,1,2,10,ACR,1,100,30,Dead,71.424,NO,
LTER_1,2009,LTER_1_2009,1,2,1,POC,3,100,15,Dead,725.7,NO,
LTER_1,2009,LTER_1_2009,1,2,2,ACR,1,100,0,Dead,592.221,NO,
LTER_1,2009,LTER_1_2009,1,2,3,POC,1,90,0,Dead,146.036,NO,
LTER_1,2010,LTER_1_2010,1,2,0,,,,,,,,
LTER_1,2006,LTER_1_2006,1,4,1,POC,3,70,100,Live,321.06,NO,
LTER_1,2006,LTER_1_2006,1,4,2,POC,2,100,100,Live,72.98,NO,
LTER_1,2006,LTER_1_2006,1,4,3,ACR,1,100,100,Live,21.94,NO,
LTER_1,2006,LTER_1_2006,1,4,4,POC,1,50,100,Live,24.66,NO,
LTER_1,2006,LTER_1_2006,1,4,5,POC,1,95,85,Live,536.32,NO,
LTER_1,2006,LTER_1_2006,1,4,6,ACR,1,50,100,Live,22.82,NO,
LTER_1,2006,LTER_1_2006,1,4,7,POC,1,70,40,Dead,77.16,NO,
LTER_1,2006,LTER_1_2006,1,4,8,ACR,1,100,90,Live,4.70,NO,
LTER_1,2009,LTER_1_2009,1,4,1,POC,2,50,0,Dead,303.94,NO,
LTER_1,2009,LTER_1_2009,1,4,2,POC,1,50,0,Dead,122.67,NO,
LTER_1,2009,LTER_1_2009,1,4,3,POC,1,100,0,Dead,133.02,YES,
LTER_1,2009,LTER_1_2009,1,4,4,POC,1,100,100,Live,1.49,NO,
LTER_1,2010,LTER_1_2010,1,4,0,,,,,,,,
LTER_1,2006,LTER_1_2006,2,2,1,ACR,1,95,100,Live,135.919,NO,
LTER_1,2006,LTER_1_2006,2,2,2,ACR,1,100,100,Live,59.05,NO,
LTER_1,2006,LTER_1_2006,2,2,3,ACR,1,25,100,Live,2.794,NO,
LTER_1,2006,LTER_1_2006,2,2,4,ACR,1,100,100,Live,8.642,NO,
LTER_1,2006,LTER_1_2006,2,2,5,ACR,1,50,100,Live,43.511,NO,
LTER_1,2006,LTER_1_2006,2,2,6,ACR,1,100,100,Live,34.145,NO,
LTER_1,2006,LTER_1_2006,2,2,7,ACR,1,100,100,Live,12.298,NO,
LTER_1,2006,LTER_1_2006,2,2,8,ACR,1,100,100,Live,3.163,NO,
LTER_1,2006,LTER_1_2006,2,2,9,ACR,1,100,100,Live,7.112,NO,
LTER_1,2006,LTER_1_2006,2,2,10,ACR,1,100,100,Live,5.277,NO,
LTER_1,2006,LTER_1_2006,2,2,11,POC,1,100,0,Dead,237.688,YES,
LTER_1,2006,LTER_1_2006,2,2,12,ACR,1,100,100,Live,2.512,NO,
LTER_1,2006,LTER_1_2006,2,2,13,ACR,1,100,100,Live,5.663,NO,
LTER_1,2006,LTER_1_2006,2,2,14,ACR,1,100,100,Live,51.304,NO,
LTER_1,2006,LTER_1_2006,2,2,15,POC,1,100,100,Live,5.017,NO,
LTER_1,2006,LTER_1_2006,2,2,16,ACR,1,100,100,Live,5.604,NO,
LTER_1,2006,LTER_1_2006,2,2,17,ACR,1,100,100,Live,40.785,NO,
LTER_1,2006,LTER_1_2006,2,2,18,POC,1,80,0,Dead,59.306,YES,
LTER_1,2009,LTER_1_2009,2,2,1,ACR,1,100,0,Dead,31.833,YES,
LTER_1,2009,LTER_1_2009,2,2,2,ACR,1,100,0,Dead,32.633,NO,
LTER_1,2010,LTER_1_2010,2,2,0,,,,,,,,
LTER_1,2006,LTER_1_2006,2,4,1,ACR,1,100,80,Live,20.52,NO,
LTER_1,2006,LTER_1_2006,2,4,2,ACR,1,100,100,Live,30.28,NO,
LTER_1,2006,LTER_1_2006,2,4,3,ACR,1,80,70,Live,24.80,NO,
LTER_1,2006,LTER_1_2006,2,4,4,ACR,1,100,100,Live,22.10,NO,
LTER_1,2006,LTER_1_2006,2,4,5,ACR,1,100,100,Live,4.84,NO,
LTER_1,2006,LTER_1_2006,2,4,6,ACR,1,100,100,Live,9.12,NO,
LTER_1,2006,LTER_1_2006,2,4,7,ACR,1,80,100,Live,5.62,NO,
LTER_1,2006,LTER_1_2006,2,4,8,ACR,1,100,100,Live,3.11,NO,
LTER_1,2006,LTER_1_2006,2,4,9,POC,1,100,100,Live,48.36,NO,
LTER_1,2006,LTER_1_2006,2,4,10,POC,1,100,0,Dead,67.20,YES,
LTER_1,2006,LTER_1_2006,2,4,11,ACR,1,100,70,Live,54.20,NO,
LTER_1,2006,LTER_1_2006,2,4,12,ACR,2,50,95,Live,1668.52,NO,
LTER_1,2009,LTER_1_2009,2,4,1,POC,2,50,0,Dead,282.10,YES,
LTER_1,2009,LTER_1_2009,2,4,2,ACR,1,100,0,Dead,51.06,NO,
LTER_1,2009,LTER_1_2009,2,4,3,ACR,1,100,0,Dead,58.37,YES,
