date,location,funct_group,percent_cover.total,site
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,Hard coral,26.8,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 1,Macroalgae,0,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,Hard coral,46.1,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 2,Macroalgae,0.6,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,Hard coral,48.5,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 3,Macroalgae,0,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,Hard coral,52.5,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 4,Macroalgae,6.8,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,Hard coral,33.3,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 5,Macroalgae,7.5,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,Hard coral,63,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 6,Macroalgae,0,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,Hard coral,30,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 7,Macroalgae,15.6,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,Hard coral,48.699999999999996,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 1-2 Quadrat 8,Macroalgae,0,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,Hard coral,50,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 1,Macroalgae,0,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,Hard coral,39.699999999999996,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 2,Macroalgae,10.1,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,Hard coral,40.4,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 3,Macroalgae,1.8,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,Hard coral,78.5,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 4,Macroalgae,0,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,Hard coral,92.7,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 5,Macroalgae,0,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,Hard coral,53.6,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 6,Macroalgae,2.4,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,Hard coral,50.900000000000006,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 7,Macroalgae,1.2,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,Hard coral,0,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 2-3 Quadrat 8,Macroalgae,0,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,Hard coral,39.8,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 1,Macroalgae,0,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,Hard coral,34.2,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 2,Macroalgae,1.2,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,Hard coral,46.2,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 3,Macroalgae,13.8,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,Hard coral,63.5,LTER 1
2005,LTER 1 Outer 10 m Coral Transect Pole 3-4 Quadrat 4,Macroalgae,13.2,LTER 1
