Sample,TemperatureC,SalinityPPT,AlgaePercent,ReefCode,ReefType,Site,Acreage,Latitude,Longitude,ReefShape,SuitableReference,Date,Restoration,TimeSinceConstruct,BuildDate,Species,Species_count,PlantingSeason
1,28,30,NA,HC4,Shell,Hillcrest,1.53,37.28000758,-75.91786724,Fringe,HC1_R,8/12/15,Restored,9,2006,Adult Oyster,36,Spring
1,26,30,25,PA1,Shell,Parramore,1.04,37.54238357,-75.65138958,Fringe,No reference,6/25/15,Restored,7,2008,Adult Oyster,4,Summer
1,NA,NA,NA,SM4_R,Reference,Smith,1.4,37.12379402,-75.91115105,Patch,Unused Reference,11/20/08,Reference,NA,NA,Adult Oyster,52,
1,NA,NA,15,SM4_R,Reference,Smith,1.4,37.12379402,-75.91115105,Patch,Unused Reference,12/14/09,Reference,NA,NA,Adult Oyster,192,
1,17,30,10,SM6,Shell,Smith,1.89,37.136784,-75.89899138,Patch,SM3_R,11/9/11,Restored,1,2010,Adult Oyster,184,Summer
1,21,33,30,PO3,Shell,Point of Rocks,1.01,37.2674785,-75.90486092,Patch,No reference,4/20/15,Restored,4,2011,Adult Oyster,96,Spring
1,8,33,5,RC1_R,Reference,Running Channel,0.66,37.27793563,-75.85251988,Patch,Reference,3/19/14,Reference,NA,NA,Adult Oyster,152,
1,12,29,10,CCS1,Shell,Cobb Cove,1.92,37.31174594,-75.77336348,Fringe,No reference,11/14/07,Restored,4,2003,Adult Oyster,144,Summer
1,12.5,34,5,HC9,Shell,Hillcrest,0.78,37.27679375,-75.90427141,Patch,HC2_R,4/2/15,Restored,5,2009,Adult Oyster,344,Summer
1,NA,NA,5,PO1,Shell,Point of Rocks,0.97,37.26662281,-75.90245046,Patch,No reference,3/24/10,Restored,0,2009,Adult Oyster,0,Summer
1,13,31,30,BT4_W,Whelk,Boxtree,0.71,37.38914588,-75.862509,Fringe,BT2_R,3/27/13,Restored,2,2011,Adult Oyster,296,Spring
1,10,31,5,BT6_W,Whelk,Boxtree,0.12,37.3876698,-75.85905246,Fringe,BT1_R,12/9/11,Restored,0,2011,Adult Oyster,68,Spring
3,0,34,NA,HC6,Shell,Hillcrest,0.86,37.28375422,-75.90544021,Patch,HC2_R,3/9/15,Restored,7,2008,Adult Oyster,428,Spring
1,23,31,5,HC4,Shell,Hillcrest,1.53,37.28000758,-75.91786724,Fringe,HC1_R,5/9/14,Restored,8,2006,Adult Oyster,24,Spring
1,11,34,10,CCS3,Shell,Cobb Cove,0.25,37.31142502,-75.77052104,Fringe,No reference,4/1/14,Restored,10,2004,Adult Oyster,188,Summer
1,NA,NA,30,CCN3,Shell,Cobb Cove,1.03,37.31908347,-75.75844056,Fringe,No reference,1/8/12,Restored,6,2006,Adult Oyster,68,Summer
5,3,11,25,CCN3,Shell,Cobb Cove,1.03,37.31908347,-75.75844056,Fringe,No reference,12/30/10,Restored,4,2006,Adult Oyster,20,Summer
2,14,17,10,CCS2,Shell,Cobb Cove,0.11,37.31239482,-75.77425109,Fringe,No reference,11/18/10,Restored,7,2003,Adult Oyster,576,Summer
1,15,32,5,OL1,Shell,Outlet,0.78,37.39223635,-75.82670114,Patch,No reference,11/27/11,Restored,3,2008,Adult Oyster,524,Summer
1,NA,NA,5,HC6_W,Whelk,Hillcrest,0.06,37.28349173,-75.90588547,Patch,HC2_R,10/27/11,Restored,3,2008,Adult Oyster,244,Spring
